error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
0.261799388,-1.79768913,1.919862177,NaN,NaN,NaN,3,1.902408885,1.640609497,0.104719755,-2.460914245,NaN,NaN,NaN,1
-0.104719755,2.00712864,-2.914699851,NaN,NaN,NaN,3,0.104719755,0.20943951,2.111848395,-2.809980096,NaN,NaN,NaN,1
0.122173048,1.954768762,-1.745329252,NaN,NaN,NaN,3,-0.558505361,-0.680678408,1.396263402,-2.303834613,NaN,NaN,NaN,1
-0.645771823,-0.698131701,2.14675498,NaN,NaN,NaN,3,1.466076572,2.111848395,0.767944871,-2.670353756,NaN,NaN,NaN,1
0.733038286,1.029744259,-1.535889742,NaN,NaN,NaN,3,-0.802851456,-1.535889742,0.226892803,-2.338741198,NaN,NaN,NaN,1
-0.244346095,1.117010721,-1.692969374,NaN,NaN,NaN,3,-0.27925268,-0.034906585,0.837758041,-1.972222055,NaN,NaN,NaN,1
0.244346095,-2.07694181,1.326450232,NaN,NaN,NaN,3,-2.321287905,-2.565634,1.884955592,-0.994837674,NaN,NaN,NaN,1
0.366519143,2.478367538,-2.879793266,NaN,NaN,NaN,3,0.645771823,0.27925268,3.124139361,-2.234021443,NaN,NaN,NaN,1
-0.680678408,-0.314159265,1.291543646,-3.036872898,-2.897246558,-2.862339973,6,2.42600766,3.106686069,2.111848395,-2.565634,-0.610865238,-0.471238898,-0.436332313,1
0.034906585,-2.42600766,-2.408554368,-1.972222055,-1.623156204,2.129301687,6,-2.914699851,-2.949606436,0.942477796,0.959931089,1.396263402,1.745329252,-0.785398163,1
0.453785606,1.850049007,1.902408885,2.391101075,-1.239183769,0.296705973,6,-1.553343034,-2.00712864,0.296705973,0.34906585,0.837758041,-2.792526803,-1.256637061,1
0.157079633,-3.036872898,-1.692969374,0.314159265,1.029744259,1.117010721,6,-1.623156204,-1.780235837,1.623156204,2.967059728,-1.308996939,-0.593411946,-0.506145483,1
-0.366519143,3.089232776,-3.106686069,-2.984513021,-2.722713633,-2.094395102,6,0.610865238,0.977384381,-2.583087293,-2.49582083,-2.373647783,-2.111848395,-1.483529864,1
0.174532925,2.234021443,2.42600766,-0.104719755,-0.06981317,0.383972435,6,-2.059488517,-2.234021443,0.174532925,0.366519143,-2.164208272,-2.129301687,-1.675516082,1
0.593411946,2.705260341,-1.047197551,-0.157079633,1.169370599,1.93731547,6,-1.954768762,-2.548180708,0.750491578,-3.001966313,-2.111848395,-0.785398163,-0.017453293,1
0.244346095,0.331612558,0.994837674,1.448623279,-2.687807048,-1.396263402,6,0.366519143,0.122173048,0.698131701,1.361356817,1.815142422,-2.321287905,-1.029744259,1
0.261799388,-2.460914245,-1.692969374,-1.570796327,-0.087266463,0.872664626,6,2.49582083,2.234021443,0.034906585,0.802851456,0.925024504,2.408554368,-2.914699851,1
-1.029744259,1.93731547,-2.914699851,-1.623156204,-1.169370599,-0.34906585,6,-1.326450232,-0.296705973,0.610865238,2.042035225,-2.949606436,-2.49582083,-1.675516082,1
0.558505361,2.35619449,-2.35619449,-0.680678408,1.204277184,1.832595715,6,-2.303834613,-2.862339973,0.052359878,1.623156204,-2.984513021,-1.099557429,-0.471238898,1
-0.052359878,-2.652900463,-1.79768913,1.466076572,2.07694181,2.565634,6,-2.687807048,-2.635447171,0.942477796,1.79768913,-1.221730476,-0.610865238,-0.122173048,1
1.047197551,-2.251474735,-1.588249619,-0.715584993,0.593411946,2.321287905,6,3.036872898,1.989675347,0.785398163,1.448623279,2.321287905,-2.652900463,-0.925024504,1
0.122173048,-1.727875959,-1.274090354,-1.047197551,-0.41887902,0.593411946,6,2.705260341,2.583087293,0.977384381,1.431169987,1.658062789,2.28638132,-2.984513021,1
-0.191986218,-3.089232776,-1.989675347,-0.453785606,0.017453293,0.104719755,6,-0.593411946,-0.401425728,2.600540585,-2.583087293,-1.047197551,-0.575958653,-0.488692191,1
1.274090354,2.00712864,2.879793266,-2.583087293,-2.28638132,-0.052359878,6,-1.343903524,-2.617993878,0.663225116,1.535889742,2.35619449,2.652900463,-1.396263402,1
0.698131701,-0.261799388,2.14675498,-2.740166926,-2.652900463,-2.583087293,6,2.059488517,1.361356817,1.79768913,-2.07694181,-0.680678408,-0.593411946,-0.523598776,1
-0.523598776,-2.321287905,-0.523598776,1.047197551,2.14675498,2.164208272,6,2.757620218,-3.001966313,0.436332313,2.234021443,-2.478367538,-1.378810109,-1.361356817,1
-0.401425728,1.79768913,-2.984513021,-2.478367538,-2.111848395,-1.727875959,6,-0.541052068,-0.13962634,1.256637061,2.757620218,-3.019419606,-2.652900463,-2.268928028,1
-0.383972435,-0.331612558,-0.052359878,0.994837674,2.00712864,2.14675498,6,2.984513021,-2.914699851,2.652900463,2.932153143,-2.303834613,-1.291543646,-1.151917306,1
0.261799388,-1.8675023,-1.117010721,-0.13962634,2.740166926,-2.111848395,6,2.07694181,1.815142422,0.20943951,0.959931089,1.93731547,-1.466076572,-0.034906585,1
-0.034906585,0.104719755,0.157079633,1.361356817,2.373647783,-3.089232776,6,0.331612558,0.366519143,0.436332313,0.488692191,1.692969374,2.705260341,-2.757620218,1
-0.27925268,0.785398163,2.14675498,-2.583087293,-2.42600766,-0.820304748,6,0.017453293,0.296705973,0.802851456,2.164208272,-2.565634,-2.408554368,-0.802851456,1
-2.652900463,-1.919862177,-0.994837674,-0.715584993,-0.488692191,-0.06981317,6,-3.141592654,-0.488692191,1.221730476,2.14675498,2.42600766,2.652900463,3.071779484,1
-0.034906585,2.00712864,2.600540585,3.106686069,-0.663225116,-0.191986218,6,-1.308996939,-1.274090354,0.698131701,1.291543646,1.79768913,-1.972222055,-1.500983157,1
-0.034906585,-0.715584993,0.401425728,0.663225116,1.291543646,1.815142422,6,2.21656815,2.251474735,1.500983157,2.617993878,2.879793266,-2.775073511,-2.251474735,1
0.575958653,-0.593411946,-0.488692191,-0.017453293,0.034906585,-2.722713633,6,2.059488517,1.483529864,1.466076572,1.570796327,2.042035225,2.094395102,-0.663225116,1
0.087266463,1.954768762,2.408554368,2.408554368,-1.954768762,-1.221730476,6,-1.082104136,-1.169370599,0.872664626,1.326450232,1.326450232,-3.036872898,-2.303834613,1
-0.453785606,-2.094395102,-1.012290966,-0.785398163,-0.052359878,1.256637061,6,-2.967059728,-2.513274123,1.221730476,2.303834613,2.530727415,-3.019419606,-1.710422667,1
0.366519143,3.001966313,-2.373647783,-2.07694181,-1.79768913,0.785398163,6,-1.047197551,-1.413716694,1.954768762,2.862339973,-3.124139361,-2.844886681,-0.261799388,1
-0.06981317,-1.361356817,-1.204277184,-0.13962634,0.27925268,0.296705973,6,2.181661565,2.251474735,0.820304748,0.977384381,2.042035225,2.460914245,2.478367538,1
-1.518436449,-1.169370599,-0.453785606,-0.383972435,1.93731547,2.059488517,6,-3.124139361,-1.605702912,1.989675347,2.705260341,2.775073511,-1.186823891,-1.064650844,1
0.314159265,2.129301687,-2.42600766,-2.373647783,0.314159265,0.715584993,6,-1.012290966,-1.326450232,1.117010721,2.844886681,2.897246558,-0.698131701,-0.296705973,1
0.104719755,-0.541052068,1.500983157,1.8675023,2.879793266,-2.775073511,6,2.42600766,2.321287905,1.884955592,-2.35619449,-1.989675347,-0.977384381,-0.34906585,1
-0.453785606,-2.652900463,-1.117010721,-0.506145483,1.274090354,1.518436449,6,-2.932153143,-2.478367538,0.698131701,2.234021443,2.844886681,-1.658062789,-1.413716694,1
-0.837758041,1.553343034,-2.094395102,-1.343903524,-0.331612558,0.593411946,6,-0.663225116,0.174532925,0.890117919,-2.757620218,-2.00712864,-0.994837674,-0.06981317,1
0.122173048,2.164208272,-0.645771823,0.401425728,0.645771823,1.204277184,6,-1.954768762,-2.07694181,0.20943951,-2.600540585,-1.553343034,-1.308996939,-0.750491578,1
0.27925268,2.251474735,-3.124139361,-2.635447171,-2.268928028,0.802851456,6,-0.977384381,-1.256637061,1.274090354,2.181661565,2.670353756,3.036872898,-0.174532925,1
0.890117919,1.343903524,1.361356817,1.850049007,2.548180708,-2.35619449,6,2.251474735,1.361356817,-2.687807048,-2.670353756,-2.181661565,-1.483529864,-0.104719755,1
-0.06981317,2.967059728,-2.111848395,-2.094395102,-1.972222055,-1.692969374,6,0.06981317,0.13962634,3.036872898,-2.042035225,-2.024581932,-1.902408885,-1.623156204,1
-0.13962634,-1.431169987,-0.34906585,0.506145483,1.658062789,-3.071779484,6,2.408554368,2.548180708,0.977384381,2.059488517,2.914699851,-2.21656815,-0.663225116,1
-0.034906585,-0.680678408,1.500983157,2.775073511,-2.844886681,-2.740166926,6,2.652900463,2.687807048,1.972222055,-2.129301687,-0.855211333,-0.191986218,-0.087266463,1
